GW,H,A,Pred Home,Pred Away,Acc Home,Acc Away,A Strength,H Strength,GD/Winner,,Correct pred?,Merit H,Merit A,,Merit2 H,Merit2 A,,,,,,
17,LEE,CP,1,2,3,0,28,23,3,,FALSE,2.93,-0.12,,3,-0.01,,,,,,
17,AVL,MUN,2,1,2,1,38,43,1,,TRUE,3.14,0.32,,3.01,0.02,,,,,,
17,FUL,NFO,2,1,1,0,25,31,1,,TRUE,2.86,0.06,,2.99,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
18,MUN,NEW,2,1,1,0,33,35,1,,TRUE,3.03,0.14,,3,0.01,,,,,,
18,NFO,MCI,0,2,1,2,43,25,-1,,TRUE,0.32,2.86,,0.02,2.99,,,,,,
18,ARS,BHA,2,1,2,1,30,47,1,,TRUE,2.97,0.4,,3,0.02,,,,,,
18,BRE,BOU,1,2,4,1,30,30,3,,FALSE,2.97,0.03,,3,0,,,,,,
18,BUR,EVE,1,2,0,0,32,14,0,,,1.03,0.64,,1.02,0.98,,,,,,
18,LIV,WOL,2,0,2,1,8,33,1,,TRUE,2.49,0.1,,2.97,0,,,,,,
18,WHU,FUL,2,1,0,1,31,20,-1,,FALSE,0.06,2.75,,0,2.98,,,,,,
18,CHE,AVL,2,1,1,2,43,37,-1,,FALSE,0.32,3.12,,0.02,3.01,,,,,,
18,SUN,LEE,2,1,1,1,25,32,0,,,0.88,1.03,,0.99,1.01,,,,,,
18,CP,TOT,2,1,0,1,25,28,-1,,FALSE,-0.08,2.93,,-0.01,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
19,BUR,NEW,1,2,1,3,30,15,-2,,TRUE,0.03,2.64,,0,2.98,,,,,,
19,CHE,BOU,2,1,2,2,29,36,0,,,0.97,1.12,,0.99,1.01,,,,,,
19,NFO,EVE,1,2,0,2,30,25,-2,,TRUE,0.03,2.86,,0,2.99,,,,,,
19,WHU,BHA,1,2,2,2,29,19,0,,,0.97,0.75,,1.01,0.99,,,,,,
19,ARS,AVL,2,1,4,1,46,47,3,,TRUE,3.32,0.4,,3.02,0.02,,,,,,
19,MUN,WOL,3,1,1,1,7,37,0,,,0.49,1.14,,0.96,1.04,,,,,,
19,CP,FUL,2,1,1,1,33,27,0,,,1.06,0.93,,1.01,0.99,,,,,,
19,LIV,LEE,2,1,0,0,25,35,0,,,0.88,1.1,,0.99,1.01,,,,,,
19,BRE,TOT,3,2,0,0,27,32,0,,,0.93,1.03,,0.99,1.01,,,,,,
19,SUN,MCI,1,2,0,0,45,32,0,,,1.32,1.03,,1.02,0.98,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
20,AVL,NFO,3,0,3,1,25,43,2,,TRUE,2.86,0.32,,2.99,0.02,,,,,,
20,BHA,BUR,2,1,2,0,15,27,2,,TRUE,2.64,-0.03,,2.98,0,,,,,,
20,WOL,WHU,1,2,3,0,20,5,3,,FALSE,2.75,-0.51,,2.99,-0.04,,,,,,
20,BOU,ARS,1,3,2,3,47,30,-1,,TRUE,0.4,2.97,,0.02,3,,,,,,
20,LEE,MUN,1,2,1,1,37,25,0,,,1.14,0.88,,1.02,0.98,,,,,,
20,EVE,BRE,2,1,2,4,30,33,-2,,FALSE,0.03,3.03,,0,3,,,,,,
20,FUL,LIV,1,2,2,2,35,33,0,,,1.1,1.06,,1,1,,,,,,
20,NEW,CP,1,2,2,0,28,30,2,,FALSE,2.93,0.03,,3,0,,,,,,
20,TOT,SUN,0,2,1,1,32,27,0,,,1.03,0.93,,1.01,0.99,,,,,,
20,MCI,CHE,2,1,1,1,36,45,0,,,1.12,1.32,,0.99,1.01,,,,,,
,,,,,,,-1,-1,0,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,
21,WHU,NFO,2,1,1,2,22,20,-1,,FALSE,-0.14,2.75,,-0.01,2.98,,,,,,
21,BOU,TOT,2,1,3,2,28,27,1,,TRUE,2.93,-0.03,,3,0,,,,,,
21,BRE,SUN,2,1,3,0,33,30,3,,TRUE,3.03,0.03,,3,0,,,,,,
21,CP,AVL,0,2,0,0,45,27,0,,,1.32,0.93,,1.02,0.98,,,,,,
21,EVE,WOL,2,1,1,1,7,32,0,,,0.49,1.03,,0.97,1.03,,,,,,
21,FUL,CHE,1,2,2,1,37,31,1,,FALSE,3.12,0.06,,3.01,0,,,,,,
21,MCI,BHA,2,1,1,1,29,45,0,,,0.97,1.32,,0.98,1.02,,,,,,
21,BUR,MUN,1,2,2,2,37,14,0,,,1.14,0.64,,1.03,0.97,,,,,,
21,NEW,LEE,2,1,4,3,26,30,1,,TRUE,2.88,0.03,,2.99,0,,,,,,
21,ARS,LIV,3,1,0,0,35,49,0,,,1.1,1.4,,0.98,1.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
